woorden,lettergrepen,aantal lettergrepen
stoeltjes,"['stoel', 'tjes']",2
hysterischer,"['hys', 'te', 'ri', 'scher']",4
doorstroming,"['door', 'stro', 'ming']",3
kevels,"['ke', 'vels']",2
luchtfietsers,"['lucht', 'fiet', 'sers']",3
gegeneraliseerde angststoornis,"['ge', 'ge', 'ne', 'ra', 'li', 'seer', 'de', 'angst', 'stoor', 'nis']",10
kaartsysteem,"['kaart', 'sys', 'teem']",3
faliekant,"['fa', 'lie', 'kant']",3
rijtuig,"['rij', 'tuig']",2
quaternion,"['qua', 'ter', 'ni', 'on']",4
kroonlijst,"['kroon', 'lijst']",2
talen,"['ta', 'len']",2
knetterbek,"['knet', 'ter', 'bek']",3
moeilijker,"['moei', 'lij', 'ker']",3
grijnzen,"['grijn', 'zen']",2
neonazisme,"['neo', 'na', 'zis', 'me']",4
stemkundige,"['stem', 'kun', 'di', 'ge']",4
ovensteen,"['oven', 'steen']",2
buitenissigheid,"['bui', 'te', 'nis', 'sig', 'heid']",5
zwartharigers,"['zwart', 'ha', 'ri', 'gers']",4
stemband,"['stem', 'band']",2
agogie,"['ago', 'gie']",2
vogelvrij,"['vo', 'gel', 'vrij']",3
mengkleur,"['meng', 'kleur']",2
gulletje,"['gul', 'le', 'tje']",3
optillen,"['op', 'til', 'len']",3
daardoor,"['daar', 'door']",2
diepvriesembryo,"['diep', 'vries', 'em', 'bryo']",4
boeiend,"['boei', 'end']",2
gastzusje,"['gast', 'zus', 'je']",3
aartsprofeetje,"['aarts', 'pro', 'feet', 'je']",4
spoliatie,"['spo', 'li', 'a', 'tie']",4
constellatie,"['con', 'stel', 'la', 'tie']",4
gepoerd,"['ge', 'poerd']",2
ademtesten,"['adem', 'tes', 'ten']",3
volgieten,"['vol', 'gie', 'ten']",3
reukzin,"['reuk', 'zin']",2
rasure,"['ra', 'su', 're']",3
Belgrado,"['Bel', 'gra', 'do']",3
burgerzaken,"['bur', 'ger', 'za', 'ken']",4
riet,['riet'],1
offergave,"['of', 'fer', 'ga', 've']",4
prijsstijging,"['prijs', 'stij', 'ging']",3
habbekrats,"['hab', 'be', 'krats']",3
i,['i'],1
pekelzonden,"['pe', 'kel', 'zon', 'den']",4
streberigere,"['stre', 'be', 'ri', 'ge', 're']",5
atoomklokken,"['atoom', 'klok', 'ken']",3
Pulo-Annaans,"['Pu', 'lo-An', 'naans']",3
graafwerk,"['graaf', 'werk']",2
C,['C'],1
onopvallende,"['on', 'op', 'val', 'len', 'de']",5
vervoermaatschappijen,"['ver', 'voer', 'maat', 'schap', 'pij', 'en']",6
noest,['noest'],1
zijdeachtig,"['zij', 'de', 'ach', 'tig']",4
haarkloverij,"['haar', 'klo', 've', 'rij']",4
destineerde,"['des', 'ti', 'neer', 'de']",4
paternosterbollekesmakerij,"['pa', 'ter', 'no', 'ster', 'bol', 'le', 'kes', 'ma', 'ke', 'rij']",10
lover,"['lo', 'ver']",2
testcapaciteiten,"['test', 'ca', 'pa', 'ci', 'tei', 'ten']",6
wasmotjes,"['was', 'mot', 'jes']",3
kriegelers,"['krie', 'ge', 'lers']",3
verdwaasd,"['ver', 'dwaasd']",2
Permjak,"['Perm', 'jak']",2
afvissen,"['af', 'vis', 'sen']",3
zakmes,"['zak', 'mes']",2
schrooien,"['schrooi', 'en']",2
munitiebrood,"['mu', 'ni', 'tie', 'brood']",4
stokpaard,"['stok', 'paard']",2
literatuurcriticus,"['li', 'te', 'ra', 'tuur', 'cri', 'ti', 'cus']",7
Helsinki,"['Hel', 'sin', 'ki']",3
gewolds,"['ge', 'wolds']",2
vlieg in,"['vlieg', 'in']",2
uitgeladen,"['uit', 'ge', 'la', 'den']",4
boei op,"['boei', 'op']",2
I,['I'],1
zmok-school,['zmok-school'],1
dichtmaken,"['dicht', 'ma', 'ken']",3
schotzalm,"['schot', 'zalm']",2
waterburcht,"['wa', 'ter', 'burcht']",3
gecopy-pastet,"['ge', 'co', 'py-pastet']",3
smeerde op,"['smeer', 'de', 'op']",3
teruggelegd,"['te', 'rug', 'ge', 'legd']",4
verklapten,"['ver', 'klap', 'ten']",3
filmtapes,"['film', 'tapes']",2
opwerpingen,"['op', 'wer', 'pin', 'gen']",4
herdersuur,"['her', 'ders', 'uur']",3
abonnementsgeld,"['abon', 'ne', 'ments', 'geld']",4
broeierig,"['broei', 'e', 'rig']",3
geuzenliedje,"['geu', 'zen', 'lied', 'je']",4
helikoptermoeder,"['he', 'li', 'kop', 'ter', 'moe', 'der']",6
snelstalen,"['snel', 'sta', 'len']",3
tijgerin,"['tij', 'ge', 'rin']",3
kerstkriebel,"['kerst', 'krie', 'bel']",3
bijwoord,"['bij', 'woord']",2
broodrooster,"['brood', 'roos', 'ter']",3
topic,"['to', 'pic']",2
talentrijk,"['ta', 'lent', 'rijk']",3
connotatie,"['con', 'no', 'ta', 'tie']",4
finish,"['fi', 'nish']",2
tapbiertjes,"['tap', 'bier', 'tjes']",3
ceremonieel,"['ce', 're', 'mo', 'ni', 'eel']",5
luchtwegziekte,"['lucht', 'weg', 'ziek', 'te']",4
kever,"['ke', 'ver']",2
telkens,"['tel', 'kens']",2
hokkerigere,"['hok', 'ke', 'ri', 'ge', 're']",5
log,['log'],1
voetbalidool,"['voet', 'bal', 'i', 'dool']",4
aalbessensapje,"['aal', 'bes', 'sen', 'sap', 'je']",5
derven,"['der', 'ven']",2
spookwoordje,"['spook', 'woord', 'je']",3
stoeier,"['stoei', 'er']",2
staldeur,"['stal', 'deur']",2
mensuur,"['men', 'suur']",2
pakjesfeestjes,"['pak', 'jes', 'feest', 'jes']",4
kriegele,"['krie', 'ge', 'le']",3
bomen,"['bo', 'men']",2
ellenlang,"['el', 'len', 'lang']",3
dikwandiger,"['dik', 'wan', 'di', 'ger']",4
Jehovah,"['Je', 'ho', 'vah']",3
piscine,"['pis', 'ci', 'ne']",3
achternagezonden,"['ach', 'ter', 'na', 'ge', 'zon', 'den']",6
toezicht,"['toe', 'zicht']",2
doemen,"['doe', 'men']",2
veelbetekenend,"['veel', 'be', 'te', 'ke', 'nend']",5
neonatologie,"['neo', 'na', 'to', 'lo', 'gie']",5
woordje,"['woord', 'je']",2
Arameese,"['Ara', 'mee', 'se']",3
taalles,"['taal', 'les']",2
uitlopervormend,"['uit', 'lo', 'per', 'vor', 'mend']",5
fijfels,"['fij', 'fels']",2
muurkrant,"['muur', 'krant']",2
tieneurobiljetjes,"['tien', 'eu', 'ro', 'bil', 'jet', 'jes']",6
clan,['clan'],1
zeshonderd,"['zes', 'hon', 'derd']",3
hartaandoening,"['hart', 'aan', 'doe', 'ning']",4
onbewust,"['on', 'be', 'wust']",3
lijkt,['lijkt'],1
trekt in,"['trekt', 'in']",2
ecologisme,"['eco', 'lo', 'gis', 'me']",4
dixieland,"['dixie', 'land']",2
Waregemmenaar,"['Wa', 're', 'gem', 'me', 'naar']",5
tegenstrijdige,"['te', 'gen', 'strij', 'di', 'ge']",5
sleuf,['sleuf'],1
spleet,['spleet'],1
snakken,"['snak', 'ken']",2
werkgelegenheidspolitiek,"['werk', 'ge', 'le', 'gen', 'heids', 'po', 'li', 'tiek']",8
toegeeflijk,"['toe', 'geef', 'lijk']",3
heuveltjes,"['heu', 'vel', 'tjes']",3
verkeurd,"['ver', 'keurd']",2
zandput,"['zand', 'put']",2
gravend,"['gra', 'vend']",2
tabakswalm,"['ta', 'baks', 'walm']",3
Turk,['Turk'],1
voeteren,"['voe', 'te', 'ren']",3
inlaut,"['in', 'laut']",2
signaal-ruisverhouding,"['sig', 'naal-ruis', 'ver', 'hou', 'ding']",5
thermogenere,"['ther', 'mo', 'ge', 'ne', 're']",5
merkelijkst,"['mer', 'ke', 'lijkst']",3
Wereldvoetbalfederatie,"['We', 'reld', 'voet', 'bal', 'fe', 'de', 'ra', 'tie']",8
klaploopten,"['klap', 'loop', 'ten']",3
fantasierijkst,"['fan', 'ta', 'sie', 'rijkst']",4
nijd,['nijd'],1
microspike,"['mi', 'cro', 'spi', 'ke']",4
lameer,"['la', 'meer']",2
architraaf,"['ar', 'chi', 'traaf']",3
probleemoplossend,"['pro', 'bleem', 'op', 'los', 'send']",5
abtje,"['abt', 'je']",2
doven,"['do', 'ven']",2
draai,['draai'],1
dwalen,"['dwa', 'len']",2
corrosie,"['cor', 'ro', 'sie']",3
oplichterij,"['op', 'lich', 'te', 'rij']",4
jaarmarkt,"['jaar', 'markt']",2
afzwervend,"['af', 'zwer', 'vend']",3
neerzetten,"['neer', 'zet', 'ten']",3
levenswatertjes,"['le', 'vens', 'wa', 'ter', 'tjes']",5
ritssluiting,"['rits', 'slui', 'ting']",3
superiores,"['su', 'pe', 'ri', 'o', 'res']",5
antipathietje,"['an', 'ti', 'pa', 'thie', 'tje']",5
achtbaan,"['acht', 'baan']",2
ontzilten,"['ont', 'zil', 'ten']",3
nieuwjaarskaart,"['nieuw', 'jaars', 'kaart']",3
eenhonderdzevenennegentig,"['een', 'hon', 'derd', 'ze', 'ven', 'en', 'ne', 'gen', 'tig']",9
afknallend,"['af', 'knal', 'lend']",3
goudbrasem,"['goud', 'bra', 'sem']",3
aasvliegjes,"['aas', 'vlieg', 'jes']",3
cribnummers,"['crib', 'num', 'mers']",3
strontvervelend,"['stront', 'ver', 've', 'lend']",4
neergekeken,"['neer', 'ge', 'ke', 'ken']",4
egelantiers,"['ege', 'lan', 'tiers']",3
bischierigs,"['bi', 'schie', 'rigs']",3
weldoend,"['wel', 'doend']",2
machtspolitiek,"['machts', 'po', 'li', 'tiek']",4
zuidoostelijker,"['zuid', 'oos', 'te', 'lij', 'ker']",5
stratovulkaan,"['stra', 'to', 'vul', 'kaan']",4
kaalhoofdigere,"['kaal', 'hoof', 'di', 'ge', 're']",5
erwtenschietertje,"['erw', 'ten', 'schie', 'ter', 'tje']",5
Cheyenne,"['Chey', 'en', 'ne']",3
plantenecologie,"['plan', 'ten', 'eco', 'lo', 'gie']",5
sneeuwklokje,"['sneeuw', 'klok', 'je']",3
nefastste,"['ne', 'fast', 'ste']",3
m,['m'],1
apocope,"['apo', 'co', 'pe']",3
roerloos,"['roer', 'loos']",2
aboriginals,"['abo', 'ri', 'gi', 'nals']",4
uitvinding,"['uit', 'vin', 'ding']",3
stip,['stip'],1
vreemde,"['vreem', 'de']",2
zakuurwerk,"['zak', 'uur', 'werk']",3
drukfoutje,"['druk', 'fout', 'je']",3
kinderdorp,"['kin', 'der', 'dorp']",3
energievoorzieningen,"['ener', 'gie', 'voor', 'zie', 'nin', 'gen']",6
logger,"['log', 'ger']",2
zonnebloemen,"['zon', 'ne', 'bloe', 'men']",4
tentatief,"['ten', 'ta', 'tief']",3
achtenhalf,"['acht', 'en', 'half']",3
tafel-BBQ,"['ta', 'fel-', 'BBQ']",3
zeemlap,"['zeem', 'lap']",2
spektakel,"['spek', 'ta', 'kel']",3
slachtmaand,"['slacht', 'maand']",2
flor,['flor'],1
woning,"['wo', 'ning']",2
last,['last'],1
avicultuur,"['avi', 'cul', 'tuur']",3
cherrytomaat,"['cher', 'ry', 'to', 'maat']",4
reflector,"['re', 'flec', 'tor']",3
uitschuiven,"['uit', 'schui', 'ven']",3
generale bas,"['ge', 'ne', 'ra', 'le', 'bas']",5
aanschurkte,"['aan', 'schurk', 'te']",3
latiniteit,"['la', 'ti', 'ni', 'teit']",4
ovenschaal,"['oven', 'schaal']",2
zwervelinges,"['zwer', 've', 'lin', 'ges']",4
mesjes,"['mes', 'jes']",2
afneembaardere,"['af', 'neem', 'baar', 'de', 're']",5
Middeliers,"['Mid', 'de', 'liers']",3
invertasetje,"['in', 'ver', 'ta', 'se', 'tje']",5
dauwnetel,"['dauw', 'ne', 'tel']",3
elaboratie,"['ela', 'bo', 'ra', 'tie']",4
Venlo,"['Ven', 'lo']",2
wodka,"['wod', 'ka']",2
vip,['vip'],1
quad,['quad'],1
houtvester,"['hout', 'ves', 'ter']",3
regenboogvlies,"['re', 'gen', 'boog', 'vlies']",4
voermannen,"['voer', 'man', 'nen']",3
stopbit,"['stop', 'bit']",2
inoculeren,"['in', 'ocu', 'le', 'ren']",4
diamanthandelaartje,"['di', 'a', 'mant', 'han', 'de', 'laar', 'tje']",7
heuveltoppen,"['heu', 'vel', 'top', 'pen']",4
tegenvaller,"['te', 'gen', 'val', 'ler']",4
rechtbankpresident,"['recht', 'bank', 'pre', 'si', 'dent']",5
strooiend,"['strooi', 'end']",2
sticks,['sticks'],1
maisplant,"['mais', 'plant']",2
nulhypothesen,"['nul', 'hy', 'po', 'the', 'sen']",5
termijnaffairetjes,"['ter', 'mijn', 'af', 'fai', 're', 'tjes']",6
doodslag,"['dood', 'slag']",2
graafarm,"['graaf', 'arm']",2
wiers,['wiers'],1
belandt,"['be', 'landt']",2
Kaspische Zee,"['Kas', 'pi', 'sche', 'Zee']",4
salariswagens,"['sa', 'la', 'ris', 'wa', 'gens']",5
aanhobbelt,"['aan', 'hob', 'belt']",3
angstige,"['ang', 'sti', 'ge']",3
kanarie,"['ka', 'na', 'rie']",3
coronabrandhaarden,"['co', 'ro', 'na', 'brand', 'haar', 'den']",6
daarnaast,"['daar', 'naast']",2
daarbij,"['daar', 'bij']",2
copy-pastend,"['co', 'py-pas', 'tend']",3
energievreter,"['ener', 'gie', 'vre', 'ter']",4
proteïnepoeder,"['pro', 'te', 'ï', 'ne', 'poeder']",5
wegaansluiting,"['weg', 'aan', 'slui', 'ting']",4
Kerkdorp,"['Kerk', 'dorp']",2
Niassers,"['Ni', 'as', 'sers']",3
vlogen,"['vlo', 'gen']",2
massavernietigingswapentje,"['mas', 'sa', 'ver', 'nie', 'ti', 'gings', 'wa', 'pen', 'tje']",9
winkelnering,"['win', 'kel', 'ne', 'ring']",4
geitenbaardjes,"['gei', 'ten', 'baard', 'jes']",4
meenemen,"['mee', 'ne', 'men']",3
meeverdiener,"['mee', 'ver', 'die', 'ner']",4
zaligmakende,"['za', 'lig', 'ma', 'ken', 'de']",5
korhoen,"['kor', 'hoen']",2
parabooltje,"['pa', 'ra', 'bool', 'tje']",4
talentrijkers,"['ta', 'lent', 'rij', 'kers']",4
samenvatten,"['sa', 'men', 'vat', 'ten']",4
armhuisje,"['arm', 'huis', 'je']",3
flaneren,"['fla', 'ne', 'ren']",3
Engelandvaarder,"['En', 'ge', 'land', 'vaar', 'der']",5
onroerend goed,"['on', 'roe', 'rend', 'goed']",4
hondsdoller,"['honds', 'dol', 'ler']",3
persconferentie,"['pers', 'con', 'fe', 'ren', 'tie']",5
mixtures,"['mix', 'tures']",2
weldenkend,"['wel', 'den', 'kend']",3
ofiologie,"['ofio', 'lo', 'gie']",3
grootte,"['groot', 'te']",2
abdicatieceremonietje,"['ab', 'di', 'ca', 'tie', 'ce', 're', 'mo', 'nie', 'tje']",9
ochlocratie,"['och', 'lo', 'cra', 'tie']",4
booleaans,"['boo', 'le', 'aans']",3
gefrustreerdere,"['ge', 'frus', 'treer', 'de', 're']",5
gefopt,"['ge', 'fopt']",2
steltloper,"['stelt', 'lo', 'per']",3
kasten,"['kas', 'ten']",2
werveling,"['wer', 've', 'ling']",3
parkeren,"['par', 'ke', 'ren']",3
pluriform,"['plu', 'ri', 'form']",3
heulend,"['heu', 'lend']",2
amoureus,"['amou', 'reus']",2
aanblikte,"['aan', 'blik', 'te']",3
witachtiger,"['wit', 'ach', 'ti', 'ger']",4
thematiek,"['the', 'ma', 'tiek']",3
verfdoos,"['verf', 'doos']",2
tijdperk,"['tijd', 'perk']",2
partnerschapsregistraties,"['part', 'ner', 'schaps', 're', 'gis', 'tra', 'ties']",7
monnik,"['mon', 'nik']",2
huislijkere,"['huis', 'lij', 'ke', 're']",4
horen bij,"['ho', 'ren', 'bij']",3
broodbeschuiten,"['brood', 'be', 'schui', 'ten']",4
verbuiging,"['ver', 'bui', 'ging']",3
chargeren,"['char', 'ge', 'ren']",3
actievoerende,"['ac', 'tie', 'voe', 'ren', 'de']",5
stomerijmedewerkstertjes,"['sto', 'me', 'rij', 'me', 'de', 'werk', 'ster', 'tjes']",8
riposteren,"['ri', 'pos', 'te', 'ren']",4
gerechtelijkst,"['ge', 'rech', 'te', 'lijkst']",4
loslippigere,"['los', 'lip', 'pi', 'ge', 're']",5
peilloden,"['peil', 'lo', 'den']",3
schoolagenda,"['school', 'agen', 'da']",3
kabaal,"['ka', 'baal']",2
bypass,"['by', 'pass']",2
strafheid,"['straf', 'heid']",2
erop aankomen,"['er', 'op', 'aan', 'ko', 'men']",5
dorpspomp,"['dorps', 'pomp']",2
afrijdend,"['af', 'rij', 'dend']",3
onderstroomt,"['on', 'der', 'stroomt']",3
huiskatten,"['huis', 'kat', 'ten']",3
dataverwerking,"['da', 'ta', 'ver', 'wer', 'king']",5
heksenzalf,"['hek', 'sen', 'zalf']",3
renovatie,"['re', 'no', 'va', 'tie']",4
dualis,"['du', 'a', 'lis']",3
Marlboromannen,"['Marl', 'bo', 'ro', 'man', 'nen']",5
getwinkeld,"['ge', 'twin', 'keld']",3
schotelantennes,"['scho', 'tel', 'an', 'ten', 'nes']",5
citroengeel,"['ci', 'troen', 'geel']",3
iconoclasme,"['ico', 'no', 'clas', 'me']",4
uurlonertjes,"['uur', 'lo', 'ner', 'tjes']",4
herdenkingsmuntjes,"['her', 'den', 'kings', 'munt', 'jes']",5
weggesluisd,"['weg', 'ge', 'sluisd']",3
huwelijkskandidaten,"['hu', 'we', 'lijks', 'kan', 'di', 'da', 'ten']",7
barder,"['bar', 'der']",2
blauwe gaai,"['blau', 'we', 'gaai']",3
meteorologisch,"['me', 'te', 'o', 'ro', 'lo', 'gisch']",6
muziekinstrument,"['mu', 'ziek', 'in', 'stru', 'ment']",5
maisplantjes,"['mais', 'plant', 'jes']",3
groepslid,"['groeps', 'lid']",2
waarzeggende,"['waar', 'zeg', 'gen', 'de']",4
kerstboompje,"['kerst', 'boom', 'pje']",3
walgde,"['walg', 'de']",2
hapklaars,"['hap', 'klaars']",2
bedrogene,"['be', 'dro', 'ge', 'ne']",4
bloedbank,"['bloed', 'bank']",2
langdradiger,"['lang', 'dra', 'di', 'ger']",4
roodlofjes,"['rood', 'lof', 'jes']",3
noordser,"['noord', 'ser']",2
steeds,['steeds'],1
vluchtelingenvraagstukje,"['vluch', 'te', 'lin', 'gen', 'vraag', 'stuk', 'je']",7
sterrenkundig,"['ster', 'ren', 'kun', 'dig']",4
bangers,"['ban', 'gers']",2
hebbedingetje,"['heb', 'be', 'din', 'ge', 'tje']",5
bedrijfskleding,"['be', 'drijfs', 'kle', 'ding']",4
zweefbruggetje,"['zweef', 'brug', 'ge', 'tje']",4
aanpassingstermijntje,"['aan', 'pas', 'sings', 'ter', 'mijn', 'tje']",6
voorgelogen,"['voor', 'ge', 'lo', 'gen']",4
voorijlt,"['voor', 'ijlt']",2
weggestormd,"['weg', 'ge', 'stormd']",3
visverkoper,"['vis', 'ver', 'ko', 'per']",4
Georgië,"['Ge', 'or', 'gië']",3
bekendmakende,"['be', 'kend', 'ma', 'ken', 'de']",5
composiet,"['com', 'po', 'siet']",3
woningprobleem,"['wo', 'ning', 'pro', 'bleem']",4
prolongatie,"['pro', 'lon', 'ga', 'tie']",4
kunstbeschermer,"['kunst', 'be', 'scher', 'mer']",4
alikruikjes,"['ali', 'kruik', 'jes']",3
aspergetjes,"['as', 'per', 'ge', 'tjes']",4
sheriffs,"['she', 'riffs']",2
begripsvermogen,"['be', 'grips', 'ver', 'mo', 'gen']",5
christendom,"['chris', 'ten', 'dom']",3
tegenstrijdig,"['te', 'gen', 'strij', 'dig']",4
trombocyt,"['trom', 'bo', 'cyt']",3
insolvabelst,"['in', 'sol', 'va', 'belst']",4
onovergankelijker,"['on', 'over', 'gan', 'ke', 'lij', 'ker']",6
Deense,"['Deen', 'se']",2
verafgoden,"['ver', 'af', 'go', 'den']",4
rivieren,"['ri', 'vie', 'ren']",3
androloog,"['an', 'dro', 'loog']",3
pikslee,"['pik', 'slee']",2
fokkenvalletjes,"['fok', 'ken', 'val', 'le', 'tjes']",5
frater,"['fra', 'ter']",2
alras,"['al', 'ras']",2
liebaard,"['lie', 'baard']",2
zelfnoemfunctie,"['zelf', 'noem', 'func', 'tie']",4
industrialiseren,"['in', 'dus', 'tri', 'a', 'li', 'se', 'ren']",7
aaibaarheidsfactor,"['aai', 'baar', 'heids', 'fac', 'tor']",5
foutstromen,"['fout', 'stro', 'men']",3
telex,"['te', 'lex']",2
standaardwerkje,"['stan', 'daard', 'werk', 'je']",4
assonant,"['as', 'so', 'nant']",3
tweede-eeuwer,"['twee', 'de-eeu', 'wer']",3
illegitiem,"['il', 'le', 'gi', 'tiem']",4
berekenen,"['be', 're', 'ke', 'nen']",4
triplet,"['tri', 'plet']",2
maaneclips,"['maan', 'eclips']",2
verdraaiing,"['ver', 'draai', 'ing']",3
zetmeel,"['zet', 'meel']",2
andrologie,"['an', 'dro', 'lo', 'gie']",4
napi,"['na', 'pi']",2
zakencentrums,"['za', 'ken', 'cen', 'trums']",4
meieren,"['mei', 'e', 'ren']",3
analyseresultaten,"['ana', 'ly', 'se', 're', 'sul', 'ta', 'ten']",7
bacchant,"['bac', 'chant']",2
aantrekking,"['aan', 'trek', 'king']",3
hoofdthemata,"['hoofd', 'the', 'ma', 'ta']",4
informatiemanagement,"['in', 'for', 'ma', 'tie', 'ma', 'nage', 'ment']",7
citogevallen,"['ci', 'to', 'ge', 'val', 'len']",5
klacht,['klacht'],1
nou,['nou'],1
landbouwgrond,"['land', 'bouw', 'grond']",3
bossen,"['bos', 'sen']",2
laserlichtje,"['la', 'ser', 'licht', 'je']",4
beeld,['beeld'],1
cementfabriek,"['ce', 'ment', 'fa', 'briek']",4
ontgrendelden,"['ont', 'gren', 'del', 'den']",4
wees,['wees'],1
petitfour,"['pe', 'tit', 'four']",3
vaartuigjes,"['vaar', 'tuig', 'jes']",3
Lets,['Lets'],1
kamers,"['ka', 'mers']",2
taksvrijer,"['taks', 'vrij', 'er']",3
kletskoek,"['klets', 'koek']",2
sport,['sport'],1
shockproof,"['shock', 'proof']",2
gekanaliseerd,"['ge', 'ka', 'na', 'li', 'seerd']",5
drossaards,"['dros', 'saards']",2
teeuw,['teeuw'],1
verkwik,"['ver', 'kwik']",2
zullen,"['zul', 'len']",2
part,['part'],1
zakdoeken,"['zak', 'doe', 'ken']",3
3D-printertje,"['3D-prin', 'ter', 'tje']",3
endocrinoloog,"['en', 'do', 'cri', 'no', 'loog']",5
einder,"['ein', 'der']",2
bedoel,"['be', 'doel']",2
tocht,['tocht'],1
verpleegkundige,"['ver', 'pleeg', 'kun', 'di', 'ge']",5
klotesituatietje,"['klo', 'te', 'si', 'tu', 'a', 'tie', 'tje']",7
schrijven,"['schrij', 'ven']",2
verwikkelen,"['ver', 'wik', 'ke', 'len']",4
heil,['heil'],1
Pulaar,"['Pu', 'laar']",2
wetenschapsdynamica,"['we', 'ten', 'schaps', 'dy', 'na', 'mi', 'ca']",7
antimoon,"['an', 'ti', 'moon']",3
bouwwerfjes,"['bouw', 'werf', 'jes']",3
komkom,"['kom', 'kom']",2
octant,"['oc', 'tant']",2
heulen,"['heu', 'len']",2
productieplatforms,"['pro', 'duc', 'tie', 'plat', 'forms']",5
strandvakantietje,"['strand', 'va', 'kan', 'tie', 'tje']",5
Angaur,"['An', 'gaur']",2
hypoglycemie,"['hy', 'po', 'gly', 'ce', 'mie']",5
software,"['soft', 'ware']",2
graderen,"['gra', 'de', 'ren']",3
Manggarai,"['Mang', 'ga', 'rai']",3
rechtgeaardere,"['recht', 'ge', 'aar', 'de', 're']",5
Gikuyu,"['Gi', 'ku', 'yu']",3
opleghout,"['op', 'leg', 'hout']",3
-aar,['-aar'],1
sijpelen,"['sij', 'pe', 'len']",3
breedten,"['breed', 'ten']",2
novitiaat,"['no', 'vi', 'ti', 'aat']",4
cardiologie,"['car', 'dio', 'lo', 'gie']",4
granaatappels,"['gra', 'naat', 'ap', 'pels']",4
generalist,"['ge', 'ne', 'ra', 'list']",4
tablet,"['ta', 'blet']",2
pelgrim,"['pel', 'grim']",2
remunereerde,"['re', 'mu', 'ne', 'reer', 'de']",5
xenofobie,"['xe', 'no', 'fo', 'bie']",4
heremiet,"['he', 're', 'miet']",3
vlokkerigs,"['vlok', 'ke', 'rigs']",3
ovenplaatser,"['oven', 'plaat', 'ser']",3
hamelbouten,"['ha', 'mel', 'bou', 'ten']",4
pimpernel,"['pim', 'per', 'nel']",3
ontvoerder,"['ont', 'voer', 'der']",3
russificeren,"['rus', 'si', 'fi', 'ce', 'ren']",5
trouwbedjes,"['trouw', 'bed', 'jes']",3
500 eurobiljetje,"['500', 'eu', 'ro', 'bil', 'jet', 'je']",6
gei,['gei'],1
agglomeratieraad,"['ag', 'glo', 'me', 'ra', 'tie', 'raad']",6
veldsla,"['veld', 'sla']",2
opacriminaliteit,"['opa', 'cri', 'mi', 'na', 'li', 'teit']",6
onwelgevoegelijks,"['on', 'wel', 'ge', 'voe', 'ge', 'lijks']",6
geklotste,"['ge', 'klots', 'te']",3
vazal,"['va', 'zal']",2
overgangsproblemen,"['over', 'gangs', 'pro', 'ble', 'men']",5
A4-formaat,"['A4-for', 'maat']",2
bovenbuurtje,"['bo', 'ven', 'buur', 'tje']",4
selders,"['sel', 'ders']",2
pyriet,"['py', 'riet']",2
divergent,"['di', 'ver', 'gent']",3
duwbak,"['duw', 'bak']",2
replicators,"['re', 'pli', 'ca', 'tors']",4
roentgenium,"['roent', 'ge', 'ni', 'um']",4
moslimgroepen,"['mos', 'lim', 'groe', 'pen']",4
februaridagen,"['fe', 'bru', 'a', 'ri', 'da', 'gen']",6
blijgeestig,"['blij', 'gees', 'tig']",3
stressen,"['stres', 'sen']",2
donatiepagina,"['do', 'na', 'tie', 'pa', 'gi', 'na']",6
gastrologie,"['gas', 'tro', 'lo', 'gie']",4
protestgeneraties,"['pro', 'test', 'ge', 'ne', 'ra', 'ties']",6
Aragonees,"['Ara', 'go', 'nees']",3
datacenter,"['da', 'ta', 'cen', 'ter']",4
drie miljard,"['drie', 'mil', 'jard']",3
verwerpend,"['ver', 'wer', 'pend']",3
ingekeerdst,"['in', 'ge', 'keerdst']",3
inrekenen,"['in', 're', 'ke', 'nen']",4
dwingen,"['dwin', 'gen']",2
troeven,"['troe', 'ven']",2
sterk,['sterk'],1
zoeten,"['zoe', 'ten']",2
driewekelijks,"['drie', 'we', 'ke', 'lijks']",4
Basken,"['Bas', 'ken']",2
kemirienootjes,"['ke', 'mi', 'rie', 'noot', 'jes']",5
krokodilwachter,"['kro', 'ko', 'dil', 'wach', 'ter']",5
rus,['rus'],1
zeldzaam,"['zeld', 'zaam']",2
rauzen,"['rau', 'zen']",2
hitte,"['hit', 'te']",2
frequentatief,"['fre', 'quen', 'ta', 'tief']",4
actiefilms,"['ac', 'tie', 'films']",3
liplezen,"['lip', 'le', 'zen']",3
garde,"['gar', 'de']",2
dalton,"['dal', 'ton']",2
a'tje,"[""a'tje""]",1
gestand doen,"['ge', 'stand', 'doen']",3
opfleuren,"['op', 'fleu', 'ren']",3
stafjes,"['staf', 'jes']",2
azuren,"['azu', 'ren']",2
kokervormig,"['ko', 'ker', 'vor', 'mig']",4
schuren,"['schu', 'ren']",2
niet-centrale,"['niet-cen', 'tra', 'le']",3
burgerparticipatie,"['bur', 'ger', 'par', 'ti', 'ci', 'pa', 'tie']",7
aanmeren,"['aan', 'me', 'ren']",3
verbetering,"['ver', 'be', 'te', 'ring']",4
valeriaanzuur,"['va', 'le', 'ri', 'aan', 'zuur']",5
vluchtstrookje,"['vlucht', 'strook', 'je']",3
mitrailleurtjes,"['mi', 'trail', 'leur', 'tjes']",4
bergziekten,"['berg', 'ziek', 'ten']",3
croppen,"['crop', 'pen']",2
elandjacht,"['eland', 'jacht']",2
